book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,description,genres,themes
1,2767052,2767052,2792775,272,439023483,9.78E+12,Suzanne Collins,2008,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",eng,4.34,4780653,4942365,155254,66715,127936,560092,1481305,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg,"A gripping dystopian story where teenagers are forced to fight to the death in a televised arena under an oppressive totalitarian government. Themes of survival, rebellion, sacrifice, and the corrupting influence of power drive this intense narrative about courage in the face of tyranny.","young adult, dystopian, science fiction, adventure","survival, rebellion, government oppression, sacrifice, coming of age, social inequality"
2,3,3,4640799,491,439554934,9.78E+12,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg,"A young orphan boy discovers he's a wizard and begins his magical education at Hogwarts School of Witchcraft and Wizardry. An enchanting tale of friendship, courage, and the eternal battle between good and evil filled with wonder, adventure, and the discovery of one's true identity.","fantasy, young adult, magic, adventure","friendship, good vs evil, coming of age, destiny, courage, belonging"
3,41865,41865,3212258,226,316015849,9.78E+12,Stephenie Meyer,2005,Twilight,"Twilight (Twilight, #1)",en-US,3.57,3866839,3916824,95009,456191,436802,793319,875073,1355439,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg,"A romantic paranormal tale of a teenage girl who falls in love with a mysterious vampire. Explores themes of forbidden love, danger, immortality, and the intensity of first relationships set against a backdrop of supernatural conflict.","paranormal romance, young adult, fantasy","forbidden love, immortality, danger, first love, choice, supernatural"
4,2657,2657,3275794,487,61120081,9.78E+12,Harper Lee,1960,To Kill a Mockingbird,To Kill a Mockingbird,eng,4.25,3198671,3340896,72586,60427,117415,446835,1001952,1714267,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg,"A powerful coming-of-age story set in Depression-era Alabama exploring racial injustice through a child's eyes. This profound narrative addresses themes of moral courage, prejudice, innocence, and standing up for what's right even when society opposes you.","classic, historical fiction, literary fiction","racial injustice, moral courage, coming of age, prejudice, innocence, small town life"
5,4671,4671,245494,1356,743273567,9.78E+12,F. Scott Fitzgerald,1925,The Great Gatsby,The Great Gatsby,eng,3.89,2683664,2773745,51992,86236,197621,606158,936012,947718,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg,"A tragic tale of wealth, obsession, and the American Dream in 1920s Jazz Age America. Explores themes of love, ambition, social class, and the corruption beneath glamorous surfaces through the mysterious Jay Gatsby's pursuit of an impossible dream.","classic, literary fiction, historical fiction","american dream, wealth, obsession, social class, illusion vs reality, tragic love"
6,11870085,11870085,16827462,226,525478817,9.78E+12,John Green,2012,The Fault in Our Stars,The Fault in Our Stars,eng,4.26,2346404,2478609,140739,47994,92723,327550,698471,1311871,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg,"A deeply emotional and heartbreaking love story between two teenagers fighting terminal cancer. This profound narrative explores mortality, meaning, love, and finding beauty and humor even in life's darkest moments with raw honesty and devastating tenderness.","young adult, contemporary, romance","terminal illness, mortality, love, grief, hope, finding meaning, heartbreaking"
7,5907,5907,1540236,969,618260307,9.78E+12,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,The Hobbit,en-US,4.25,2071616,2196809,37653,46023,76784,288649,665635,1119718,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg,"An epic fantasy adventure following reluctant hobbit Bilbo Baggins on an unexpected journey filled with dragons, dwarves, and magical creatures. A tale of courage, personal growth, and discovering hidden strengths while facing dangerous quests in Middle-earth.","fantasy, adventure, classic","courage, adventure, personal growth, greed, heroism, home"
8,5107,5107,3036731,360,316769177,9.78E+12,J.D. Salinger,1951,The Catcher in the Rye,The Catcher in the Rye,eng,3.79,2044241,2120637,44920,109383,185520,455042,661516,709176,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg,"A controversial coming-of-age novel following disillusioned teenager Holden Caulfield through New York City. Explores teenage angst, alienation, loss of innocence, rebellion against phoniness, and the painful transition from childhood to adulthood.","classic, literary fiction, coming of age","teenage rebellion, alienation, loss of innocence, mental health, identity, phoniness"
9,960,960,3338963,311,1416524797,9.78E+12,Dan Brown,2000,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,2001311,2078754,25112,77841,145740,458429,716569,680175,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg,"A fast-paced thriller following symbologist Robert Langdon as he races to prevent a terrorist attack on Vatican City. A gripping mystery involving secret societies, religious symbolism, science versus faith, and ancient conspiracies with high-stakes action.","thriller, mystery, suspense","conspiracy, science vs religion, secret societies, race against time, symbolism"
10,1885,1885,3060926,3455,679783261,9.78E+12,Jane Austen,1813,Pride and Prejudice,Pride and Prejudice,eng,4.24,2035490,2191465,49152,54700,86485,284852,609755,1155673,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg,"A witty romantic comedy following Elizabeth Bennet's journey from prejudice to love in Regency England. A timeless exploration of class, reputation, first impressions, marriage, and learning to look beyond pride and prejudice to find true connection.","classic, romance, historical fiction","love, social class, pride, prejudice, marriage, first impressions, reputation"
